fishery_name,crc_area,angler_final,n_months,mean_of_months,sd_of_months,min_month,max_month,cv_across_months,pe_period
Quillayute fall salmon 2025,400,bank,2,6.394230769230769,0.27468378807631233,6.2,6.588461538461538,0.04295806610516764,week
Quillayute fall salmon 2025,400,boat,2,6.283333333333333,0.683536555146996,5.8,6.766666666666667,0.10878565864408424,week
Quillayute fall salmon 2025,402,bank,2,1.3472233333333332,1.174579788274182,0.51667,2.1777766666666665,0.871852319665521,week
Quillayute fall salmon 2025,402,boat,1,1.5,NA,1.5,1.5,NA,week
Quillayute fall salmon 2025,404,bank,3,3.3373266911764707,1.4205967951443468,2,4.82864625,0.4256690838509309,week
Quillayute fall salmon 2025,404,boat,3,4.455551993939394,1.9741684069571999,2.25,6.057323181818182,0.44308054527082985,week
Quillayute fall salmon 2025,406,bank,3,3.320227409090909,1.3754154986249618,1.7458325000000001,4.2883345,0.41425340169743247,week
Quillayute fall salmon 2025,406,boat,3,6.3445778352490425,0.3633114934386647,6.044443333333334,6.748485,0.05726330464734596,week
Satsop salmon 2022,329,bank,3,3.6348726056460596,0.8596977520240245,2.6469294736842106,4.212847152777778,0.23651386040012878,week
Satsop salmon 2022,329,boat,3,6.191054500661376,0.37169948359269944,5.855555,6.590624375,0.060038154009626574,week
Satsop salmon 2023,329,bank,2,3.4336894902617163,0.8866111204487801,2.806760754716981,4.060618225806452,0.2582094633085773,week
Satsop salmon 2023,329,boat,2,5.956223410199557,0.7977606362472167,5.392121454545455,6.520325365853658,0.1339373259372903,week
Satsop salmon 2024,329,bank,3,3.5541409643230333,0.9419699239125036,2.6291667857142857,4.51223315270936,0.2650344860736054,week
Satsop salmon 2024,329,boat,3,5.997112464069779,0.5785299916670427,5.37193,6.513559322033898,0.09646809112438069,week
Satsop salmon 2025,329,bank,3,3.018086174355316,0.7674985894915388,2.169791875,3.6643856842105262,0.25429975989849984,week
Satsop salmon 2025,329,boat,3,5.882557083333333,0.5277519650801944,5.333334166666667,6.38583375,0.08971472058901728,week
Skagit fall salmon 2022,830,bank,3,2.75614178705732,0.3320865397316224,2.422222,3.0863642045454545,0.1204896429099117,week
Skagit fall salmon 2022,830,boat,3,5.1972530694987045,0.34704205667850163,4.985605909090909,5.59776682382134,0.06677413087986789,week
Skagit fall salmon 2023,830,bank,4,2.710174812945591,0.2924575247518572,2.4670633333333334,3.1226664,0.107910944841966,week
Skagit fall salmon 2023,830,boat,4,4.382991181389517,0.33743261512442496,3.8889187567567567,4.650047873563218,0.0769868341413022,week
Skagit fall salmon 2024,830,bank,3,2.8054669564081824,0.3680741171926052,2.528086111111111,3.2230363057324842,0.13119887808760636,week
Skagit fall salmon 2024,830,boat,3,4.940956625993482,0.42241091675751136,4.671371674641148,5.427777435897436,0.0854917273580755,week
Skagit fall salmon 2025,826,bank,3,3.879309525252525,1.2867476543100806,2.5111116666666664,5.065150909090909,0.3316950209654434,week
Skagit fall salmon 2025,830,bank,4,3.1128756933070845,0.24587077730411946,2.8666657142857144,3.450854700854701,0.07898509337612164,week
Skagit fall salmon 2025,830,boat,4,4.846410424721734,0.6320237923757294,4.099249099099099,5.6434339393939394,0.13041070338404495,week
