fishery_name,guided_status,n,total,prop
Skagit summer gamefish 2022,Guided,2,81,0.024691358024691357
Skagit summer gamefish 2022,Unguided,79,81,0.9753086419753086
Skagit summer gamefish 2024,Unguided,41,41,1
Skagit summer sockeye 2022,Unguided,521,521,1
Skagit summer sockeye 2023,Guided,5,216,0.023148148148148147
Skagit summer sockeye 2023,Unguided,211,216,0.9768518518518519
Skagit summer sockeye 2024,Guided,5,709,0.007052186177715092
Skagit summer sockeye 2024,Unguided,704,709,0.9929478138222849
Skagit summer sockeye 2025,Guided,2,607,0.0032948929159802307
Skagit summer sockeye 2025,Unguided,605,607,0.9967051070840197
Skagit summer sockeye 2026,Guided,8,483,0.016563146997929608
Skagit summer sockeye 2026,Unguided,475,483,0.9834368530020704
Skagit winter gamefish 2021-22,Guided,5,141,0.03546099290780142
Skagit winter gamefish 2021-22,Unguided,136,141,0.9645390070921985
Skagit winter gamefish 2022-23,Guided,4,248,0.016129032258064516
Skagit winter gamefish 2022-23,Unguided,244,248,0.9838709677419355
Skagit winter gamefish 2024,Guided,1,70,0.014285714285714285
Skagit winter gamefish 2024,Unguided,69,70,0.9857142857142858
Skagit winter gamefish 2025,Guided,1,94,0.010638297872340425
Skagit winter gamefish 2025,Unguided,93,94,0.9893617021276596
Skagit winter steelhead 2021,Guided,133,1860,0.07150537634408602
Skagit winter steelhead 2021,Unguided,1727,1860,0.928494623655914
Skagit winter steelhead 2023,Guided,32,726,0.0440771349862259
Skagit winter steelhead 2023,Unguided,694,726,0.9559228650137741
Skagit winter steelhead 2024,Guided,95,1223,0.0776778413736713
Skagit winter steelhead 2024,Unguided,1128,1223,0.9223221586263287
Skagit winter steelhead 2025,Guided,106,1165,0.09098712446351931
Skagit winter steelhead 2025,Unguided,1059,1165,0.9090128755364807
Skookumchuck winter steelhead 2024-25,Unguided,476,476,1
Skookumchuck winter steelhead 2025-26,Unguided,241,241,1
Skykomish summer Chinook 2020,Guided,35,61,0.5737704918032787
Skykomish summer Chinook 2020,Unguided,26,61,0.4262295081967213
Skykomish summer Chinook 2021,Guided,47,148,0.31756756756756754
Skykomish summer Chinook 2021,Unguided,101,148,0.6824324324324325
Skykomish summer Chinook and gamefish 2022,Guided,66,724,0.09116022099447514
Skykomish summer Chinook and gamefish 2022,Unguided,658,724,0.9088397790055248
Skykomish summer Chinook and gamefish 2025,Guided,12,250,0.048
Skykomish summer Chinook and gamefish 2025,Unguided,238,250,0.952
Skykomish winter gamefish 2021-22,Unguided,248,248,1
Skykomish winter gamefish 2022-23,Unguided,1,1,1
Snohomish fall salmon 2021,Guided,5,618,0.008090614886731391
Snohomish fall salmon 2021,Unguided,613,618,0.9919093851132686
Snohomish fall salmon 2023,Guided,13,13,1
Snohomish fall salmon 2024,Guided,5,5,1
Snohomish fall salmon 2025,Guided,12,1272,0.009433962264150943
Snohomish fall salmon 2025,Unguided,1260,1272,0.9905660377358491
South Fork Willapa winter steelhead 2022-23,Unguided,12,12,1
South Fork Willapa winter steelhead 2023-24,Unguided,17,17,1
Stillaguamish salmon and gamefish 2024-25,Guided,1,1,1
Stillaguamish salmon and gamefish 2025-26,Unguided,645,645,1
Upper Chehalis salmon 2023,Guided,33,242,0.13636363636363635
Upper Chehalis salmon 2023,Unguided,209,242,0.8636363636363636
Willapa winter steelhead 2022,Guided,5,285,0.017543859649122806
Willapa winter steelhead 2022,Unguided,280,285,0.9824561403508771
Willapa winter steelhead 2022-23,Unguided,289,289,1
Willapa winter steelhead 2023-24,Guided,1,534,0.0018726591760299626
Willapa winter steelhead 2023-24,Unguided,533,534,0.99812734082397
Wynoochee winter steelhead 2024-25,Guided,54,545,0.09908256880733946
Wynoochee winter steelhead 2024-25,Unguided,491,545,0.9009174311926605
Wynoochee winter steelhead 2025-26,Guided,57,427,0.13348946135831383
Wynoochee winter steelhead 2025-26,Unguided,370,427,0.8665105386416861
