fishery_name,month,combined_type,hours,total_hours,prop
Drano Lake salmon and steelhead 2023,2023-10-01,Unguided-Bank,126.38333333333334,2345.616666666667,0.05388064261708009
Drano Lake salmon and steelhead 2023,2023-10-01,Unguided-Boat,1396.6333333333334,2345.616666666667,0.5954226678130129
Drano Lake salmon and steelhead 2024,2024-07-01,Guided-Bank,0,509.98333333333335,0
Drano Lake salmon and steelhead 2024,2024-07-01,Guided-Boat,97.8,509.98333333333335,0.19177097290761136
Drano Lake salmon and steelhead 2024,2024-07-01,Unguided-Bank,40.43333333333334,509.98333333333335,0.07928363672015426
Drano Lake salmon and steelhead 2024,2024-07-01,Unguided-Boat,371.75,509.98333333333335,0.7289453903722344
Drano Lake salmon and steelhead 2024,2024-08-01,Guided-Bank,0,2940.1833333333334,0
Drano Lake salmon and steelhead 2024,2024-08-01,Guided-Boat,225.31666666666666,2940.1833333333334,0.07663354325977405
Drano Lake salmon and steelhead 2024,2024-08-01,Unguided-Bank,93.53333333333333,2940.1833333333334,0.03181207521072949
Drano Lake salmon and steelhead 2024,2024-08-01,Unguided-Boat,2621.3333333333335,2940.1833333333334,0.8915543815294965
Drano Lake salmon and steelhead 2024,2024-09-01,Guided-Bank,45.733333333333334,7371.249999999999,0.006204284664518682
Drano Lake salmon and steelhead 2024,2024-09-01,Guided-Boat,2285.4166666666665,7371.249999999999,0.3100446554745351
Drano Lake salmon and steelhead 2024,2024-09-01,Unguided-Bank,362.26666666666665,7371.249999999999,0.04914589339212029
Drano Lake salmon and steelhead 2024,2024-09-01,Unguided-Boat,4677.833333333333,7371.249999999999,0.634605166468826
Drano Lake salmon and steelhead 2024,2024-10-01,Guided-Bank,0,2673.2000000000003,0
Drano Lake salmon and steelhead 2024,2024-10-01,Guided-Boat,560.0666666666667,2673.2000000000003,0.2095116963439573
Drano Lake salmon and steelhead 2024,2024-10-01,Unguided-Bank,238.7,2673.2000000000003,0.08929373036061648
Drano Lake salmon and steelhead 2024,2024-10-01,Unguided-Boat,1874.4333333333334,2673.2000000000003,0.7011945732954261
Drano Lake salmon and steelhead 2025,2025-07-01,Guided-Bank,0,540.8333333333334,0
Drano Lake salmon and steelhead 2025,2025-07-01,Guided-Boat,73.8,540.8333333333334,0.13645608628659475
Drano Lake salmon and steelhead 2025,2025-07-01,Unguided-Bank,59.68333333333333,540.8333333333334,0.11035439137134051
Drano Lake salmon and steelhead 2025,2025-07-01,Unguided-Boat,407.35,540.8333333333334,0.7531895223420647
Drano Lake salmon and steelhead 2025,2025-08-01,Guided-Bank,0,3690.5666666666666,0
Drano Lake salmon and steelhead 2025,2025-08-01,Guided-Boat,429.21666666666664,3690.5666666666666,0.11630101971693596
