fishery_name,angler_final,hours,total_hours,prop
Humptulips salmon 2024,Bank,3669.116666666667,7968.733333333334,0.46043913294459177
Humptulips salmon 2024,Boat,4299.616666666667,7968.733333333334,0.5395608670554082
Humptulips salmon 2025,Bank,3896.4333333333334,7359.533333333333,0.5294402724810451
Humptulips salmon 2025,Boat,3463.1,7359.533333333333,0.47055972751895503
Humptulips winter steelhead 2024-25,Bank,1602.3,2483.9666666666667,0.6450569653376991
Humptulips winter steelhead 2024-25,Boat,881.6666666666666,2483.9666666666667,0.35494303466230087
Humptulips winter steelhead 2025-26,Bank,2394.4666666666667,3666.883333333333,0.6529977774040625
Humptulips winter steelhead 2025-26,Boat,1272.4166666666667,3666.883333333333,0.34700222259593755
Lower Chehalis salmon 2023,Bank,714.0666666666667,5939.2,0.1202294360632184
Lower Chehalis salmon 2023,Boat,5225.133333333333,5939.2,0.8797705639367817
Lower Cowlitz salmon and steelhead 2022-23,Bank,4601.866666666667,10622.216666666667,0.4332303521079247
Lower Cowlitz salmon and steelhead 2022-23,Boat,6020.35,10622.216666666667,0.5667696478920753
Lower Cowlitz salmon and steelhead 2023-24,Bank,7895.333333333333,17742.75,0.4449892679169426
Lower Cowlitz salmon and steelhead 2023-24,Boat,9847.416666666666,17742.75,0.5550107320830574
Naselle winter steelhead 2022,Bank,765.9666666666667,807.9333333333334,0.9480567703605908
Naselle winter steelhead 2022,Boat,41.96666666666667,807.9333333333334,0.05194322963940919
Naselle winter steelhead 2022-23,Bank,1226.4833333333333,1226.4833333333333,1
Naselle winter steelhead 2023-24,Bank,1728.8666666666666,2314.1833333333334,0.7470742018422625
Naselle winter steelhead 2023-24,Boat,585.3166666666667,2314.1833333333334,0.25292579815773747
Nisqually salmon 2021,Bank,13469.1,14264.683333333334,0.9442270596029121
Nisqually salmon 2021,Boat,795.5833333333334,14264.683333333334,0.05577294039708791
Nisqually salmon 2022,Bank,9655.616666666667,10686.55,0.903529826432915
Nisqually salmon 2022,Boat,1030.9333333333334,10686.55,0.09647017356708512
Nisqually salmon 2023,Bank,8558.75,9584.733333333334,0.8929565072232926
Nisqually salmon 2023,Boat,1025.9833333333333,9584.733333333334,0.1070434927767074
Nooksack fall salmon 2023,Bank,75.2,111.13333333333334,0.6766646670665867
Nooksack fall salmon 2023,Boat,35.93333333333334,111.13333333333334,0.3233353329334133
Nooksack fall salmon 2024,Bank,117.06666666666666,148.83333333333331,0.7865621500559911
Nooksack fall salmon 2024,Boat,31.766666666666666,148.83333333333331,0.21343784994400897
Nooksack spring Chinook 2022,Bank,664.6166666666667,703.2,0.9451317785362153
Nooksack spring Chinook 2022,Boat,38.583333333333336,703.2,0.0548682214637846
Nooksack spring Chinook 2026,Bank,1214.7,1630.4666666666667,0.7450014310831256
Nooksack spring Chinook 2026,Boat,415.76666666666665,1630.4666666666667,0.2549985689168745
Nooksack winter gamefish 2021-22,Bank,834,1426.4833333333333,0.5846545700966246
Nooksack winter gamefish 2021-22,Boat,592.4833333333333,1426.4833333333333,0.4153454299033754
Nooksack winter gamefish 2022-23,Bank,1239.15,1799.8500000000001,0.6884740395032919
Nooksack winter gamefish 2022-23,Boat,560.7,1799.8500000000001,0.31152596049670805
North Fork Skykomish summer gamefish 2025,Bank,36.45,36.45,1
Post Quillayute winter steelhead 2023-24,Bank,1365.2,4673.25,0.2921307441288183
Post Quillayute winter steelhead 2023-24,Boat,3308.05,4673.25,0.7078692558711818
Pre Quillayute winter steelhead 2023-24,Bank,544.9333333333334,1430.5333333333333,0.3809301892068227
Pre Quillayute winter steelhead 2023-24,Boat,885.6,1430.5333333333333,0.6190698107931774
Puyallup Carbon salmon 2024,Bank,10272.45,10276.416666666668,0.9996140029355238
Puyallup Carbon salmon 2024,Boat,3.966666666666667,10276.416666666668,3.8599706447610627e-4
Puyallup Carbon salmon 2025,Bank,11557.266666666666,11557.266666666666,1
Puyallup_Carbon salmon 2022,Bank,10288.116666666667,10288.116666666667,1
Puyallup_Carbon salmon 2023,Bank,14583.866666666667,14583.866666666667,1
Queets winter steelhead 2024-25,Bank,258.35,620.9833333333333,0.41603370997611316
Queets winter steelhead 2024-25,Boat,362.6333333333333,620.9833333333333,0.5839662900238868
Queets winter steelhead 2025-26,Bank,324.3333333333333,521.0833333333333,0.6224212378058532
Queets winter steelhead 2025-26,Boat,196.75,521.0833333333333,0.3775787621941469
Quillayute fall salmon 2022,Bank,1739.0333333333333,4027.75,0.4317629776757081
Quillayute fall salmon 2022,Boat,2288.7166666666667,4027.75,0.5682370223242919
Quillayute fall salmon 2023,Bank,1662.2166666666667,3140.9333333333334,0.5292110625291845
Quillayute fall salmon 2023,Boat,1478.7166666666667,3140.9333333333334,0.47078893747081546
Quillayute fall salmon 2024,Bank,2654.05,5863.616666666667,0.45263020263375564
Quillayute fall salmon 2024,Boat,3209.5666666666666,5863.616666666667,0.5473697973662444
Quillayute fall salmon 2025,Bank,2988.0833333333335,5898.916666666667,0.5065478124514389
Quillayute fall salmon 2025,Boat,2910.8333333333335,5898.916666666667,0.4934521875485612
Quillayute spring chinook 2025,Bank,304.6666666666667,1587.2166666666667,0.19195026933940967
Quillayute spring chinook 2025,Boat,1282.55,1587.2166666666667,0.8080497306605903
Quillayute spring chinook 2026,Bank,285.15,1382.5166666666664,0.20625429470410245
Quillayute spring chinook 2026,Boat,1097.3666666666666,1382.5166666666664,0.7937457052958976
Quillayute winter steelhead 2022-23,Bank,1585.0833333333333,3107.6499999999996,0.5100585115226404
Quillayute winter steelhead 2022-23,Boat,1522.5666666666666,3107.6499999999996,0.4899414884773597
Quillayute winter steelhead 2024-25,Bank,3265.8166666666666,7500.85,0.4353928776960833
Quillayute winter steelhead 2024-25,Boat,4235.033333333334,7500.85,0.5646071223039167
Quillayute winter steelhead 2025-26,Bank,4900.05,10758.400000000001,0.4554627082093991
Quillayute winter steelhead 2025-26,Boat,5858.35,10758.400000000001,0.5445372917906008
Quinault winter steelhead 2024-25,Bank,189.83333333333334,417.93333333333334,0.4542191737119158
Quinault winter steelhead 2024-25,Boat,228.1,417.93333333333334,0.5457808262880842
Quinault winter steelhead 2025-26,Bank,134.3,204.8,0.65576171875
Quinault winter steelhead 2025-26,Boat,70.5,204.8,0.34423828125
Satsop salmon 2022,Bank,1462.0166666666667,2951.95,0.49527148720902003
Satsop salmon 2022,Boat,1489.9333333333334,2951.95,0.5047285127909801
