fishery_name,month,angler_final,hours,total_hours,prop
Chehalis salmon 2024,2024-09-01,Boat,3770.116666666667,4160.05,0.9062671522377536
Chehalis salmon 2024,2024-10-01,Bank,627.4166666666666,4761.866666666667,0.13175855406843254
Chehalis salmon 2024,2024-10-01,Boat,4134.45,4761.866666666667,0.8682414459315674
Chehalis salmon 2024,2024-11-01,Bank,525.4,2307.266666666667,0.22771533416163423
Chehalis salmon 2024,2024-11-01,Boat,1781.8666666666668,2307.266666666667,0.7722846658383657
Chehalis salmon 2024,2024-12-01,Bank,10.866666666666667,455.73333333333335,0.023844353423054417
Chehalis salmon 2024,2024-12-01,Boat,444.8666666666667,455.73333333333335,0.9761556465769455
Chehalis salmon 2025,2025-09-01,Bank,236.66666666666666,4108,0.05761116520610191
Chehalis salmon 2025,2025-09-01,Boat,3871.3333333333335,4108,0.9423888347938981
Chehalis salmon 2025,2025-10-01,Bank,621.7333333333333,5305.916666666667,0.11717736489139483
Chehalis salmon 2025,2025-10-01,Boat,4684.183333333333,5305.916666666667,0.8828226351086051
Chehalis salmon 2025,2025-11-01,Bank,247.31666666666666,2405.65,0.10280658727024573
Chehalis salmon 2025,2025-11-01,Boat,2158.3333333333335,2405.65,0.8971934127297543
Chehalis salmon 2025,2025-12-01,Bank,25.983333333333334,170.98333333333335,0.151964129057413
Chehalis salmon 2025,2025-12-01,Boat,145,170.98333333333335,0.8480358709425869
Chehalis winter steelhead 2024-25,2024-11-01,Bank,525.4,2146.516666666667,0.24476865619492041
Chehalis winter steelhead 2024-25,2024-11-01,Boat,1621.1166666666668,2146.516666666667,0.7552313438050795
Chehalis winter steelhead 2024-25,2024-12-01,Bank,10.866666666666667,455.73333333333335,0.023844353423054417
Chehalis winter steelhead 2024-25,2024-12-01,Boat,444.8666666666667,455.73333333333335,0.9761556465769455
Chehalis winter steelhead 2024-25,2025-01-01,Bank,83.05,319.3,0.26010021922956467
Chehalis winter steelhead 2024-25,2025-01-01,Boat,236.25,319.3,0.7398997807704353
Chehalis winter steelhead 2024-25,2025-02-01,Bank,28.416666666666664,200.25,0.14190595089471492
Chehalis winter steelhead 2024-25,2025-02-01,Boat,171.83333333333334,200.25,0.8580940491052851
Chehalis winter steelhead 2025-26,2025-12-01,Bank,25.983333333333334,170.98333333333335,0.151964129057413
Chehalis winter steelhead 2025-26,2025-12-01,Boat,145,170.98333333333335,0.8480358709425869
Chehalis winter steelhead 2025-26,2026-01-01,Bank,24.583333333333332,265.15,0.0927148155132315
Chehalis winter steelhead 2025-26,2026-01-01,Boat,240.56666666666666,265.15,0.9072851844867685
Chehalis winter steelhead 2025-26,2026-02-01,Boat,99.83333333333333,99.83333333333333,1
Drano Lake salmon and steelhead 2022,2022-07-01,Bank,16.3,74.55,0.21864520456069753
Drano Lake salmon and steelhead 2022,2022-07-01,Boat,58.25,74.55,0.7813547954393025
Drano Lake salmon and steelhead 2022,2022-08-01,Bank,400.51666666666665,3620.1000000000004,0.11063690689944107
Drano Lake salmon and steelhead 2022,2022-08-01,Boat,3219.5833333333335,3620.1000000000004,0.8893630931005588
Drano Lake salmon and steelhead 2022,2022-09-01,Bank,191.48333333333332,3995.1666666666665,0.047928747236243796
Drano Lake salmon and steelhead 2022,2022-09-01,Boat,3803.6833333333334,3995.1666666666665,0.9520712527637563
Drano Lake salmon and steelhead 2022,2022-10-01,Bank,834.7166666666667,3014.766666666667,0.2768760434748958
Drano Lake salmon and steelhead 2022,2022-10-01,Boat,2180.05,3014.766666666667,0.7231239565251042
Drano Lake salmon and steelhead 2023,2023-07-01,Boat,269.81666666666666,269.81666666666666,1
Drano Lake salmon and steelhead 2023,2023-08-01,Bank,178.9,4969.066666666667,0.036002736932489
Drano Lake salmon and steelhead 2023,2023-08-01,Boat,4790.166666666667,4969.066666666667,0.9639972630675111
Drano Lake salmon and steelhead 2023,2023-09-01,Bank,155.81666666666666,6125.083333333333,0.025439109671977253
