fishery_name,guided_status,hours,total_hours,prop
Quinault winter steelhead 2024-25,Unguided,289.56666666666666,417.93333333333334,0.6928537246769819
Quinault winter steelhead 2025-26,Unguided,204.8,204.8,1
Satsop salmon 2022,Guided,93.33333333333334,2944.7166666666667,0.03169518289818489
Satsop salmon 2022,Unguided,2851.383333333333,2944.7166666666667,0.968304817101815
Satsop salmon 2023,Guided,157.71666666666667,2936.4333333333334,0.053710283450444415
Satsop salmon 2023,Unguided,2778.7166666666667,2936.4333333333334,0.9462897165495556
Satsop salmon 2024,Guided,236.53333333333333,4372.0666666666675,0.05410103536085146
Satsop salmon 2024,Unguided,4135.533333333334,4372.0666666666675,0.9458989646391485
Satsop salmon 2025,Guided,352.23333333333335,3038.25,0.11593296579719686
Satsop salmon 2025,Unguided,2686.0166666666664,3038.25,0.8840670342028031
Satsop winter steelhead 2024-25,Guided,264.6,3115.5166666666664,0.08492973343105212
Satsop winter steelhead 2024-25,Unguided,2850.9166666666665,3115.5166666666664,0.915070266568948
Satsop winter steelhead 2025-26,Guided,270.8333333333333,1350.6666666666665,0.20051826258637712
Satsop winter steelhead 2025-26,Unguided,1079.8333333333333,1350.6666666666665,0.7994817374136229
Skagit fall salmon 2021,Guided,234.85,5834.05,0.04025505437903343
Skagit fall salmon 2021,Unguided,5599.2,5834.05,0.9597449456209665
Skagit fall salmon 2022,Guided,1341.1,13898.066666666668,0.09649543581601276
Skagit fall salmon 2022,Unguided,12556.966666666667,13898.066666666668,0.9035045641839872
Skagit fall salmon 2023,Guided,1048.6833333333334,17294.6,0.06063646070642475
Skagit fall salmon 2023,Unguided,16245.916666666666,17294.6,0.9393635392935753
Skagit fall salmon 2024,Guided,710.2166666666667,10974.050000000001,0.06471782675189804
Skagit fall salmon 2024,Unguided,10263.833333333334,10974.050000000001,0.9352821732481019
Skagit fall salmon 2025,Guided,1451.6166666666668,17457.283333333333,0.08315249509039685
Skagit fall salmon 2025,Unguided,16005.666666666666,17457.283333333333,0.9168475049096031
Skagit spring Chinook 2021 lower,Unguided,506.03333333333336,506.03333333333336,1
Skagit spring Chinook 2022 lower,Unguided,1305.1666666666667,1305.1666666666667,1
Skagit spring Chinook 2022 upper,Guided,295.2,785.8666666666667,0.37563624024431624
