fishery_name,month,guided_status,hours,total_hours,prop
Humptulips salmon 2024,2024-12-01,Unguided,654.2333333333333,729.5166666666667,0.896803819880743
Humptulips salmon 2025,2025-09-01,Guided,186.58333333333334,1584.8666666666666,0.1177280948975729
Humptulips salmon 2025,2025-09-01,Unguided,1398.2833333333333,1584.8666666666666,0.8822719051024271
Humptulips salmon 2025,2025-10-01,Guided,261.96666666666664,2969.05,0.08823248738373103
Humptulips salmon 2025,2025-10-01,Unguided,2707.0833333333335,2969.05,0.911767512616269
Humptulips salmon 2025,2025-11-01,Guided,269.56666666666666,1914.0666666666666,0.14083452335341856
Humptulips salmon 2025,2025-11-01,Unguided,1644.5,1914.0666666666666,0.8591654766465815
Humptulips salmon 2025,2025-12-01,Guided,13,891.55,0.014581347092142897
Humptulips salmon 2025,2025-12-01,Unguided,878.55,891.55,0.9854186529078571
Humptulips winter steelhead 2024-25,2024-11-01,Guided,102.2,1158.6333333333334,0.08820737075289853
Humptulips winter steelhead 2024-25,2024-11-01,Unguided,1056.4333333333334,1158.6333333333334,0.9117926292471015
Humptulips winter steelhead 2024-25,2024-12-01,Guided,75.28333333333333,729.5166666666667,0.10319618011925705
Humptulips winter steelhead 2024-25,2024-12-01,Unguided,654.2333333333333,729.5166666666667,0.896803819880743
Humptulips winter steelhead 2024-25,2025-01-01,Guided,58.05,590.9833333333332,0.09822612030796132
Humptulips winter steelhead 2024-25,2025-01-01,Unguided,532.9333333333333,590.9833333333332,0.9017738796920387
Humptulips winter steelhead 2024-25,2025-02-01,Unguided,4.833333333333333,4.833333333333333,1
Humptulips winter steelhead 2025-26,2025-11-01,Guided,269.56666666666666,1914.0666666666666,0.14083452335341856
Humptulips winter steelhead 2025-26,2025-11-01,Unguided,1644.5,1914.0666666666666,0.8591654766465815
Humptulips winter steelhead 2025-26,2025-12-01,Guided,13,891.55,0.014581347092142897
Humptulips winter steelhead 2025-26,2025-12-01,Unguided,878.55,891.55,0.9854186529078571
Humptulips winter steelhead 2025-26,2026-01-01,Guided,14.833333333333332,856.95,0.01730945018184647
Humptulips winter steelhead 2025-26,2026-01-01,Unguided,842.1166666666667,856.95,0.9826905498181535
Humptulips winter steelhead 2025-26,2026-02-01,Unguided,4.316666666666666,4.316666666666666,1
Lower Chehalis salmon 2023,2023-09-01,Guided,113.9,2670.266666666667,0.04265491586358416
Lower Chehalis salmon 2023,2023-09-01,Unguided,2556.366666666667,2670.266666666667,0.9573450841364158
Lower Chehalis salmon 2023,2023-10-01,Guided,108.01666666666667,2686.4,0.04020870557871749
Lower Chehalis salmon 2023,2023-10-01,Unguided,2578.383333333333,2686.4,0.9597912944212824
Lower Chehalis salmon 2023,2023-11-01,Guided,21.133333333333333,530.9,0.03980661769322534
Lower Chehalis salmon 2023,2023-11-01,Unguided,509.76666666666665,530.9,0.9601933823067746
Lower Cowlitz salmon and steelhead 2022-23,2022-08-01,Guided,597.5,821.7,0.7271510283558476
Lower Cowlitz salmon and steelhead 2022-23,2022-08-01,Unguided,224.2,821.7,0.27284897164415234
Lower Cowlitz salmon and steelhead 2022-23,2022-09-01,Guided,135.04999999999998,776.4666666666666,0.1739289087318623
Lower Cowlitz salmon and steelhead 2022-23,2022-09-01,Unguided,641.4166666666666,776.4666666666666,0.8260710912681377
Lower Cowlitz salmon and steelhead 2022-23,2022-10-01,Guided,24,202.83333333333334,0.11832374691865241
